product_id,product_name,description,price,stock_quantity,category,size
9fc2a3cb-7e45-4367-86fa-5758e32873e9,Tulle Princess Skirts,Fine choose enter Mrs book democratic politics pretty.,658,1,Skirts,xs
43193b5d-21bb-4a24-b0d7-824706f605f4,Toddler Cotton Polo Shirts,Sea commercial represent reveal industry.,1233,22,Polo Shirts,XXL
79c595fa-4573-45bc-83ef-a1a802bd7aff,Denim with Patches Hoodies,Hard entire expect can year nice building attack.,464,9,Hoodies,XL
e590b9fa-f40b-4809-b2c6-156367f8e5e7,Boys' Striped Romper,Just act with name later position.,457,1,Romper,s
40d4298f-08ab-4752-b662-945f876245d2,Lightweight Rain Jackets,Yard law couple.,1390,13,Jackets,L
3570366f-90b7-4722-9b52-38f7e3c7c825,Embroidered Romper,Over fine arm chair describe Mr.,600,8,Romper,s
fd2f0818-6aaf-47f6-bd8e-de82db3dc51d,Striped Baby Jeans,Present relationship care break deal live feel.,454,7,Jeans,s
65079c25-da7c-4c72-b948-f2c2a0e72697,Kids' Slim Fit Jeans,Put nature responsibility.,465,9,Jeans,XL
226f7908-6b82-45a5-a80d-2cff773c7c1d,Boys' Quilted Sweaters,Government campaign mouth seek full trip.,1220,5,Sweaters,s
1af5ae11-eb0d-404f-b56b-1c58f2860b32,Girls' V-Neck T-Shirts,Without herself cold include result account ago.,1015,23,T-Shirts,s
badccee3-e3fd-42d4-982b-9c71d6f533c9,Boys' Zip-Up Polo Shirts,Exactly end reach too.,1406,12,Polo Shirts,XL
6554cf8f-4aba-42e0-a621-8ee9b15f784a,Cable Knit Hoodies,Hear special western second.,429,14,Hoodies,XXL
3c806c92-42b6-48bd-878c-3ef7469a3e5b,Boys' Zip-Up Jeans,Do wall world interesting lead.,1154,4,Jeans,m
d024211d-539b-4856-bbaa-58d37d49e50e,Toddler Cotton T-Shirts,Easy young pass.,851,16,T-Shirts,L
064ace22-d48b-476a-9789-6029930b65d7,Baby Girl's Floral Hoodies,Night model news side.,1225,7,Hoodies,XXL
e6ba3459-da3e-410e-ada0-b55c2a28b5c5,Velvet Holiday Skirts,Off six will defense when.,1238,12,Skirts,L
5def01e6-0245-47b8-8ac1-db6299198298,Boys' Skinny Polo Shirts,System order you which girl street.,551,9,Polo Shirts,s
a2f12c9b-a0a5-4144-9bc7-69dabdf6ad54,Cozy Wool Blend Sweaters,Message face show.,569,23,Sweaters,s
65cf7c96-bc01-43a0-88eb-869c7d5bc5fa,Fleece Pullover Sweaters,Capital yes will.,1224,15,Sweaters,s
9361d41c-9c58-4ecf-9b3f-7a627d72e0a1,Boys' Skinny Polo Shirts,Measure design resource.,1056,11,Polo Shirts,XL
2f811595-a7c2-4312-8df2-6d1901d44d83,Sequined Party Romper,Happen this history voice deep.,1473,4,Romper,XXL
75f04806-3f1a-4b3a-ab8f-b8923b84ee56,Striped Baby Dresses,Green contain record data ball believe.,943,2,Dresses,s
da7a47fc-d7b9-4d0c-ab0e-06a1d2cda1d7,Cable Knit Romper,Scene threat race challenge third.,1218,4,Romper,XL
b5c16a63-4fe0-46b4-98e1-466c2026f60c,Girls' Patterned Polo Shirts,Feeling unit recognize generation surface any everything.,732,26,Polo Shirts,XXL
9d0bff01-3c5f-491b-9439-df59de0aa507,Short-Sleeve Toddler Romper,Work fall style where.,338,4,Romper,XXL
656a6014-1290-44b0-ab97-50070f5d4e0e,Denim with Patches Polo Shirts,Hour plant else.,830,17,Polo Shirts,xs
89399e84-1228-462b-9c9e-0a4ef759b29d,Sherpa-Lined Sweaters,Reduce born doctor much.,556,5,Sweaters,m
251d3009-28c6-4a42-8cd9-efa24de0dca5,Toddler Cotton Hoodies,Vote care your see weight best.,1291,1,Hoodies,xs
f0233442-d66b-400e-8036-2228a1862391,Boys' Classic T-Shirts,Eight measure should direction thus administration.,493,5,T-Shirts,XXL
41d44c99-905e-4788-9e51-c8eea12898b5,Short-Sleeve Toddler Hoodies,Factor others game water.,923,26,Hoodies,XXL
e8eaaf7b-96bf-416d-9263-c3b5760e0911,Sherpa-Lined Sweaters,Follow president stage middle bit security mouth.,527,16,Sweaters,m
313fe1cb-a6bc-4fbb-90a9-a342f62cdad0,Hooded Windbreaker T-Shirts,Similar court remember cost outside street.,513,11,T-Shirts,L
783fabf4-296a-4eb3-8658-b058db3f6316,Hooded Sweater Romper,Stay year mouth value.,1172,21,Romper,m
151741ff-9b6d-4857-bcf7-ecd2669bbafc,Baby Girl's Floral Dresses,Huge table hot author million magazine.,1471,2,Dresses,L
5bbcfb2f-5cef-4045-af67-c883b5d45b68,Girls' Patterned Jackets,Girl series answer modern offer cell company.,392,8,Jackets,xs
503d12c5-a260-4fe8-bb41-69c017f5a953,Floral Print Skater Skirts,Several upon consumer heart phone we.,853,0,Skirts,XXL
56b81e8b-f42f-4530-bfa7-bec5bba335d1,Holiday Fair Isle Polo Shirts,Whole industry act action teacher though.,776,20,Polo Shirts,m
b8224210-9874-43c4-8b65-17fe47cb4f1b,Chunky Knit Skirts,Religious none person whatever his.,890,11,Skirts,XXL
7fa6e22f-5618-459b-ae74-9eeedef7b716,Baby Girl's Floral Sweaters,Police worker nice art choose.,805,22,Sweaters,XL
3c586b5e-e59a-4ddd-abfe-8e73a5b47e45,Solid Color Toddler Dresses,Growth artist major pull these have bill skin.,942,3,Dresses,XXL
a156a396-5d41-4306-a8c9-d871d04432ca,Distressed Denim Sweaters,This identify report week subject.,358,21,Sweaters,L
e69f0a1b-ebb5-4637-a4a6-5bf2a28e3c64,Baby Girl's Floral T-Shirts,Manage small account speak price president cultural.,1409,24,T-Shirts,m
188a795c-80b5-4469-b098-f9d01cef3ab7,Stretchy Toddler Skirts,Election heart feel enter seat ready behavior.,874,1,Skirts,L
2b3f3c97-34f4-4e65-9f3d-4d4e0bc78688,Denim with Patches Jackets,Although kitchen fill name than.,1037,9,Jackets,XL
37370f1f-8919-46be-b3f0-b683f698093b,Boys' Quilted Dresses,Kid tonight fire meet.,1330,5,Dresses,L
231c19c5-a946-4dbc-b623-c9958c45a4b8,Boys' Formal Suit Skirts,Join official prevent least guy garden.,806,1,Skirts,m
f11b2777-7810-4775-a30d-fb02fdfd258b,Denim Overall Romper,State certainly several.,1488,14,Romper,XL
8d9ceb0e-45db-4398-bba0-e085d17c3740,Unisex Organic Cotton Leggings,Interest cause draw woman power.,1271,18,Leggings,XXL
f60dab8c-d392-4fe6-af04-c427bd3eca22,Graphic Print Youth Dresses,Crime amount care.,1263,15,Dresses,s
f7529c88-8efc-40e6-9ff4-e177e06c43b9,Boys' Striped Skirts,As whatever voice level.,1268,11,Skirts,L
a9aba99f-d49a-4476-9949-f93c91033e0d,Fleece Pullover Hoodies,On night experience road surface most song.,1384,3,Hoodies,XXL
73b2341d-6a94-46e3-a022-1850e7e4ea62,Hooded Windbreaker Jeans,Newspaper idea fine another somebody.,467,24,Jeans,s
f2785558-0b0b-48a4-84d5-3b420af4a68d,Girls' Bootcut Hoodies,Talk worker phone politics bed spend world.,1224,4,Hoodies,xs
fba62b70-97af-4773-aae0-4590c41f90d6,Kids' Pleated Skirts,Front character pull thank.,1473,14,Skirts,L
57a96dd6-e9d1-4845-b982-7a8282810fd1,Boys' Striped T-Shirts,Listen change produce century hospital idea usually.,921,14,T-Shirts,xs
8488a13f-8a69-4f25-906c-0fa39beeb627,Toddler Cotton Leggings,Group dream end other.,572,11,Leggings,m
ca7a589a-a9f2-41e5-8924-fabb56486fa5,Cable Knit Hoodies,Official purpose moment expert easy this.,1327,17,Hoodies,L
b8166149-f2e4-42f6-bf60-3c9fb28fa7d3,Infant Ruffled Hoodies,Join water center indeed affect law.,724,15,Hoodies,s
aa979f8b-464b-46e3-a42a-6e137e1d1968,Straight Leg Boys' Skirts,Work point weight condition than.,705,0,Skirts,xs
76db0e2a-3d6b-40d7-b448-e5e036ccd3e1,Floral Print Sundress Polo Shirts,Film then risk job Republican office.,1105,6,Polo Shirts,s
15511712-8d11-42ee-a73e-ab34c066b3e1,Kids' Kangaroo Pocket Romper,News point fill green sound religious everything.,734,26,Romper,m
f12bb0a7-e8ed-4031-9d91-7cce88d12d81,Cable Knit Dresses,School mention look age response old sing media.,1217,20,Dresses,xs
3934bb7a-f2e9-43c0-9b72-4c0fb5a81c3d,Fleece Pullover Hoodies,Method consider around plan plant nation available.,394,3,Hoodies,L
39b0127b-1e94-4d42-8bf7-d8a7f26351d6,Boys' Athletic Jeans,Firm person wind.,641,25,Jeans,xs
596777bf-1ac7-4a2b-97d4-60ae28d075b6,Girls' Sleeveless Hoodies,Officer indeed nice attention.,780,15,Hoodies,xs
de5d012d-cb3d-4d02-b6be-115021e9eb64,Sherpa-Lined Dresses,Become professor young hear group door.,921,1,Dresses,L
5475350e-891a-4901-9704-2c5ef8ef0469,Hooded Sweater Leggings,Partner that player treat office use anything.,983,18,Leggings,xs
98c86ea0-f32e-4a71-a997-e6d3ba9a943c,Sherpa-Lined Jeans,Attorney billion outside against born young week.,869,25,Jeans,L
3b73a743-2fa1-4f3c-b4b4-6cf34596609f,Baby Girl's Floral Dresses,Area use red attention wind happy cultural.,858,23,Dresses,s
efaded6f-a6ab-4697-8cb6-a111fa7dae3b,Fleece Lined Jackets,Staff challenge south method practice.,1359,18,Jackets,xs
9c6629df-0f59-4162-be3e-f48b3594b9b8,Straight Leg Boys' Jeans,Congress hair explain perhaps about.,945,26,Jeans,XL
29ebc6ff-b55a-49a7-aa8c-f95490971612,Chunky Knit Polo Shirts,Stage catch end enjoy early try national.,1171,17,Polo Shirts,xs
1b3cb632-7b26-4b81-9a63-0b6fff5a20c4,Boys' Classic T-Shirts,Staff can bag interesting join young.,1384,13,T-Shirts,XXL
b38355ac-3f53-47ea-a13d-da56d863b895,Kids' Graphic Leggings,Box because business discover.,949,24,Leggings,m
a38c3ea4-5e4e-4933-8e30-9ca8e2e63770,Toddler Cotton Hoodies,Clear share remember.,467,10,Hoodies,XXL
7b6724dc-ae0d-4705-b336-957240a5b996,Lightweight Rain Skirts,Baby spring table sometimes all marriage.,332,11,Skirts,s
15ddfd6d-231d-41f3-9bb6-e1b78e270a58,Girls' Bootcut Polo Shirts,Clear amount language money represent democratic establish.,1232,3,Polo Shirts,m
565a91a0-3e45-4792-bcf7-0a1bf2ac83ee,Cable Knit Sweaters,Research matter teach begin front.,1454,2,Sweaters,s
